t,kind,detail
0.06,explore_status,exploration_started
18.58,goal_succeeded,3e1f2cc9
18.81,frontiers,avail=16 black=0
18.83,goal_accepted,d6b18524
77.68,goal_succeeded,d6b18524
77.80,frontiers,avail=14 black=0
77.80,goal_accepted,4337bbcd
136.65,goal_succeeded,4337bbcd
136.81,frontiers,avail=15 black=0
136.82,goal_accepted,f0c2cf96
271.97,goal_succeeded,f0c2cf96
272.36,frontiers,avail=21 black=0
272.36,goal_accepted,5db6075a
309.11,goal_succeeded,5db6075a
309.37,frontiers,avail=18 black=0
309.37,goal_accepted,b9799c32
430.93,goal_canceled,b9799c32
431.39,frontiers,avail=18 black=0
431.39,goal_accepted,27598bdf
579.85,goal_aborted,27598bdf
584.89,frontiers,avail=14 black=0
584.90,goal_accepted,a3ac1e51
597.95,goal_aborted,a3ac1e51
603.40,frontiers,avail=14 black=0
603.40,goal_accepted,a0611294
606.48,goal_aborted,a0611294
611.90,frontiers,avail=14 black=0
611.90,goal_accepted,fa958a2c
618.09,goal_aborted,fa958a2c
623.41,frontiers,avail=14 black=0
623.41,goal_accepted,977aa68f
626.23,goal_aborted,977aa68f
631.40,frontiers,avail=14 black=0
631.40,goal_accepted,7912426a
657.12,goal_aborted,7912426a
662.40,frontiers,avail=14 black=0
662.40,goal_accepted,dffb690e
670.36,goal_aborted,dffb690e
675.40,frontiers,avail=14 black=0
675.40,goal_accepted,e766e70d
678.30,goal_aborted,e766e70d
683.40,frontiers,avail=13 black=0
683.40,goal_accepted,b3b1d742
689.40,goal_aborted,b3b1d742
694.60,frontiers,avail=17 black=0
694.61,goal_accepted,3c2f1839
722.86,goal_aborted,3c2f1839
728.12,frontiers,avail=17 black=0
728.12,goal_accepted,b4a771d0
732.11,goal_aborted,b4a771d0
737.61,frontiers,avail=17 black=0
737.61,goal_accepted,57875146
748.49,goal_aborted,57875146
753.61,frontiers,avail=17 black=0
753.61,goal_accepted,457a9e29
758.41,goal_aborted,457a9e29
763.61,frontiers,avail=17 black=0
763.61,goal_accepted,cf9e225c
790.15,goal_aborted,cf9e225c
795.61,frontiers,avail=17 black=0
795.62,goal_accepted,badb2b96
809.78,goal_aborted,badb2b96
815.13,frontiers,avail=17 black=0
815.15,goal_accepted,b94c57cf
842.80,goal_aborted,b94c57cf
848.15,frontiers,avail=13 black=0
848.15,goal_accepted,8f58649c
850.92,goal_aborted,8f58649c
856.15,frontiers,avail=13 black=0
856.16,goal_accepted,686a0d8d
865.08,goal_aborted,686a0d8d
870.15,frontiers,avail=13 black=0
870.16,goal_accepted,80f09f4b
910.06,goal_aborted,80f09f4b
915.17,frontiers,avail=11 black=0
915.17,goal_accepted,048de77d
946.78,goal_aborted,048de77d
952.20,frontiers,avail=10 black=0
952.20,goal_accepted,cb793c34
1020.90,goal_aborted,cb793c34
1025.92,frontiers,avail=10 black=0
1025.92,goal_accepted,ea5bfb85
1049.37,goal_aborted,ea5bfb85
1054.42,frontiers,avail=10 black=0
1054.42,goal_accepted,6871560d
1071.52,goal_aborted,6871560d
1076.92,frontiers,avail=10 black=0
1076.93,goal_accepted,305e2624
1079.02,goal_aborted,305e2624
1084.42,frontiers,avail=10 black=0
1084.43,goal_accepted,064ba147
1085.49,goal_aborted,064ba147
1090.92,frontiers,avail=10 black=0
1090.93,goal_accepted,aedeb1bb
1094.00,goal_aborted,aedeb1bb
1099.42,frontiers,avail=10 black=0
1099.42,goal_accepted,ec13bc6a
1101.52,goal_aborted,ec13bc6a
